data_provider,destination,source,content_type
rdw,gekentekende_voertuigen.csv,https://opendata.rdw.nl/api/views/m9d7-ebf2/rows.csv?accessType=DOWNLOAD,text/csv
nza,zorgactiviteiten.csv,https://www.opendisdata.nl/download/csv/02_DBC_PROFIEL.csv,text/csv
rdw,erkende_bedrijven.csv,https://opendata.rdw.nl/api/views/5k74-3jha/rows.csv?accessType=DOWNLOAD,text/csv
rdw,carrosserie_uitvoering_klasse.csv,https://opendata.rdw.nl/api/views/q7fi-ijjh/rows.csv?accessType=DOWNLOAD,text/csv
rdw,parkeren_parkeergebied.csv,https://opendata.rdw.nl/api/views/mz4f-59fw/rows.csv?accessType=DOWNLOAD,text/csv
rdw,parkeren_tijdvak.csv,https://opendata.rdw.nl/api/views/ixf8-gtwq/rows.csv?accessType=DOWNLOAD,text/csv
rdw,parkeren_gebied.csv,https://opendata.rdw.nl/api/views/adw6-9hsg/rows.csv?accessType=DOWNLOAD,text/csv
nza,dbc_zorgproducten.csv,https://www.opendisdata.nl/download/csv/01_DBC.csv,text/csv
nza,referentietabel_zorgproducten.csv,https://www.opendisdata.nl/download/csv/05_REF_ZPD.csv,text/csv
nza,referentietabel_zorgactiviteiten.csv,https://www.opendisdata.nl/download/csv/03_REF_ZAT.csv,text/csv
nza,referentietabel_specialismen.csv,https://www.opendisdata.nl/download/csv/06_REF_SPC.csv,text/csv
nza,referentietable_diagnoses.csv,https://www.opendisdata.nl/download/csv/04_REF_DGN.csv,text/csv
nza,top100_diagnosegroepen.csv,"https://www.opendisdata.nl/download/diagnose/csv/pat/100/",text/csv
nza,top100_diagnosegroepen.json,"https://www.opendisdata.nl/download/diagnose/json/pat/100/",application/json
nza,top100_zorgproducten.csv,https://www.opendisdata.nl/download/zorgproduct/csv/pat/100/,text/csv
nza,top100_zorgproducten.json,"https://www.opendisdata.nl/download/zorgproduct/json/pat/100/",application/json
vektis,postcodes_2011.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Oud/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202011%20-%20postcode3.csv,application/octet-stream
vektis,postcodes_2012.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Oud/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202012%20-%20postcode3.csv,application/octet-stream
vektis,postcodes_2013.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Oud/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202013%20-%20postcode3.csv,application/octet-stream
vektis,postcodes_2014.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Oud/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202014%20-%20postcode3.csv,application/octet-stream
vektis,postcodes_2015.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Oud/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202015%20-%20postcode3.csv,application/octet-stream
vektis,postcodes_2016.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202016%20-%20postcode3.csv,application/octet-stream
vektis,postcodes_2017.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/2017/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202017%20-%20postcode3.csv,application/octet-stream
vektis,gemeentes_2011.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Gemeentebestanden%202011-2016/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202011%20-%20gemeente.csv,application/octet-stream
vektis,gemeentes_2012.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Gemeentebestanden%202011-2016/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202012%20-%20gemeente.csv,application/octet-stream
vektis,gemeentes_2013.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Gemeentebestanden%202011-2016/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202013%20-%20gemeente.csv,application/octet-stream
vektis,gemeentes_2014.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Gemeentebestanden%202011-2016/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202014%20-%20gemeente.csv,application/octet-stream
vektis,gemeentes_2015.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Gemeentebestanden%202011-2016/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202015%20-%20gemeente.csv,application/octet-stream
vektis,gemeentes_2016.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/Gemeentebestanden%202011-2016/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202016%20-%20gemeente.csv,application/octet-stream
vektis,gemeentes_2017.csv,https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/2017/Vektis%20Open%20Databestand%20Zorgverzekeringswet%202017%20-%20gemeente.csv,application/octet-stream
duo,adressen_instellingen_hoger_onderwijs.csv,https://onderwijsdata.duo.nl/dataset/6d0d5e7b-0dea-451c-b0c7-8251acacffed/resource/b38a5506-e040-4bcb-9870-35d0609a0834/download/instellingenho.csv,text/csv
duo,prognose_vo_per_instelling.csv,https://onderwijsdata.duo.nl/dataset/1dbd001b-92da-4249-833f-6924efd9f684/resource/59622979-241d-4e60-b220-b3ed6ae35a61/download/brin4_prognosesvo.csv,text/csv
duo,vo_leerlingen.csv,https://onderwijsdata.duo.nl/dataset/b7e4a919-a1f7-449e-a98d-707d89ac2a81/resource/e12c0cd1-3637-455d-af2f-718c607fce4a/download/02voins.csv,text/csv
duo,gediplomeerden_geslaagd_wo.csv,https://onderwijsdata.duo.nl/dataset/2a1a78ea-d7fe-4055-8fb5-144144933477/resource/34132d6a-d774-46fb-ac7f-46792a8b778f/download/gediplomeerdengeslwo.csv,text/csv
duo,personele_bekostiging_bo.csv,https://onderwijsdata.duo.nl/dataset/d17b3a97-e107-4068-b242-3b7eacfe3989/resource/777e0694-5a17-4992-8d0a-8240c93ec821/download/persbek_bo_01.csv,text/csv
duo,brin4_prognosesvo.csv,https://onderwijsdata.duo.nl/dataset/1dbd001b-92da-4249-833f-6924efd9f684/resource/59622979-241d-4e60-b220-b3ed6ae35a61/download/brin4_prognosesvo.csv,text/csv
duo,functiemix_besturen.csv,https://onderwijsdata.duo.nl/dataset/030d429b-c5b6-4711-94d5-1b491dccebe3/resource/d421b7a8-bd0f-4fc4-80e3-ebd6ff89d576/download/functiemix-besturen.csv,text/csv
duo,totaal_materieel_vaste_activa.csv,https://onderwijsdata.duo.nl/dataset/b96fd3b9-5da1-4646-af52-eb9733abf6f5/resource/77efdd9c-9d3c-4a8c-afdb-76dc95d8a9bd/download/05-materiele-vaste-activa-totaal-materiele-vaste-activa.csv,text/csv
duo,swv_leeftijd.csv,https://onderwijsdata.duo.nl/dataset/06fe98d5-fd13-42a5-886c-da527a491da9/resource/2a6a45ae-6e50-424e-93d5-90a5c69f1e90/download/swv_leeftijd.csv,text/csv
duo,swv_pc4.csv,https://onderwijsdata.duo.nl/dataset/06fe98d5-fd13-42a5-886c-da527a491da9/resource/572279a5-67eb-4428-a3aa-c10655989961/download/swv_pc4.csv,text/csv
cbr,opleidingsdata_jul2018_jun2019.csv,https://www.cbr.nl/web/file?uuid=30efae66-39d6-425a-a8db-6bbe026f044a&owner=d214f7b5-5ce0-48dc-a521-4ef537c9d232&contentid=11696,application/vnd.ms-excel
cbr,examens_jul2018_jun2019.csv,https://www.cbr.nl/web/file?uuid=22431038-3c85-4f23-8203-ce90afbecc94&owner=d214f7b5-5ce0-48dc-a521-4ef537c9d232&contentid=11702,application/vnd.ms-excel
cbr,diplomas_jul2018_jun2019.csv,https://www.cbr.nl/web/file?uuid=3c7989d4-cd87-43cd-9ea7-fbaffe93440f&owner=d214f7b5-5ce0-48dc-a521-4ef537c9d232&contentid=11875,application/vnd.ms-excel
cbr,opleidingsdata_jul2017_jun2018.csv,https://www.cbr.nl/web/file?uuid=191d04ef-02d9-4948-b691-4e3766dfa844&owner=d214f7b5-5ce0-48dc-a521-4ef537c9d232&contentid=8120,application/vnd.ms-excel
cbr,diplomas_jul2017_jun2018.csv,https://www.cbr.nl/web/file?uuid=2cf4a8fe-e4d7-4711-959e-e13bba0b417d&owner=d214f7b5-5ce0-48dc-a521-4ef537c9d232&contentid=8118,application/vnd.ms-excel
cbr,examens_jul2017_jun2018.csv,https://www.cbr.nl/web/file?uuid=68b3852b-22e6-430b-a7c3-06b129a61efb&owner=d214f7b5-5ce0-48dc-a521-4ef537c9d232&contentid=8119,application/vnd.ms-excel
cbs,kerncijfers_bevolking_data.json,https://opendata.cbs.nl/ODataApi/odata/37296ned/TypedDataSet?%24format=json,application/json
cbs,kerncijfers_bevolking_table_info.json,https://opendata.cbs.nl/ODataApi/odata/37296ned/TableInfos?%24format=json,application/json
cbs,agrarische_bedrijven_table_info.json,https://opendata.cbs.nl/ODataFeed/odata/71904ned/TableInfos?%24format=json,application/json
cbs,agrarische_bedrijven_untyped.json,https://opendata.cbs.nl/ODataFeed/odata/71904ned/UntypedDataSet?%24format=json,application/json
cbs,agrarische_bedrijven_data.json,https://opendata.cbs.nl/ODataFeed/odata/71904ned/TypedDataSet?%24format=json,application/json
cbs,kerncijfers_recht_table_info.json,https://opendata.cbs.nl/ODataFeed/odata/70229ned/TableInfos?%24format=json,application/json
cbs,kerncijfers_recht_data.json,https://opendata.cbs.nl/ODataFeed/odata/70229ned/TypedDataSet?%24format=json,application/json
cbs,verdachten_table_info.json,https://opendata.cbs.nl/ODataFeed/odata/81960NED/TableInfos?%24format=json,application/json
cbs,verdachten_data.json,https://opendata.cbs.nl/ODataFeed/odata/81960NED/TypedDataSet?%24format=json,application/json
cbs,hypotheken_table_info.json,https://opendata.cbs.nl/ODataApi/OData/70231ned/TableInfos?%24format=json,application/json
cbs,hypotheken_data.json,https://opendata.cbs.nl/ODataApi/OData/70231ned/TypedDataSet?%24format=json,application/json
georegister,rijkswaterstaat_districten.json,https://geoservices.rijkswaterstaat.nl/apps/geoserver/regiogebieden_rijkswaterstaat/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=rijkswaterstaat_districten_nat&outputFormat=json,application/json
georegister,rijkswaterstaat_districten.csv,https://geoservices.rijkswaterstaat.nl/apps/geoserver/regiogebieden_rijkswaterstaat/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=rijkswaterstaat_districten_nat&outputFormat=csv,text/csv
georegister,rijkswaterstaat_districten.gml,https://geoservices.rijkswaterstaat.nl/apps/geoserver/regiogebieden_rijkswaterstaat/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=rijkswaterstaat_districten_nat&outputFormat=text/xml;+subtype=gml/2.1.2,text/xml
radboud,meta_analysis_spoken_input.zip,https://files.osf.io/v1/resources/92vfw/providers/osfstorage/?zip=,application/zip
radboud,faces_traits.zip,https://files.osf.io/v1/resources/z56th/providers/osfstorage/?zip=,application/zip
radboud,eye_tracking_trustworthiness.zip,https://files.osf.io/v1/resources/3wabp/providers/osfstorage/?zip=,application/zip
radboud,classifying_acoustic_signals.xls,https://osf.io/em6h5/download,application/octet-stream
radboud,nells.zip,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:59831/tab/2,
radboud,sarcasm.zip,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:65746/tab/2,
radboud,emotion.zip,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:73774/tab/2,
radboud,eindhoven_population.zip,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:1341/tab/2,
radboud,camelyon_stage_labels.csv,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100439/CAMELYON17/training/stage_labels.csv,
radboud,camelyon_lesion_annotations.zip,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100439/CAMELYON17/training/lesion_annotations.zip,
radboud,camelyon_submission_example.csv,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100439/CAMELYON17/testing/evaluation/submission_example.csv,text/csv
cjib,snelheidsovertredingen_2018.csv,https://data.overheid.nl/OpenDataSets/CJIB/SnelheidsovertredingenWahv2018.csv,text/csv
cjib,snelheidsovertredingen_2019t1.csv,https://data.overheid.nl/sites/default/files/dataset/6741aa95-aab4-4e68-95d0-c50ec4fa95eb/resources/Snelheidsovertredingen%202019%201e%20tertiaal.csv,text/csv
cjib,instroom_zaken_2018.csv,https://data.overheid.nl/OpenDataSets/CJIB/Instroomfeitgecodeerdezaken2018.csv,text/csv
cjib,trajectcontrole_2018.csv,https://data.overheid.nl/OpenDataSets/CJIB/Trajectcontrolesystemen2018.csv,text/csv
cjib,trajectcontrole_2019t1.csv,https://data.overheid.nl/sites/default/files/dataset/e8da471f-38cf-45f9-95c0-002735dfbd91/resources/Traject%20controle%20systemen%202019%201e%20tertiaal.csv,text/csv
dnb,rentetarieven_ecb.csv,https://statistiek.api.dnb.nl/api/dataset/resourcecsv?id=6e8be666-3a26-43e0-8396-3868b83b934d,text/csv
dnb,pensioenfondsen_uitkeringen.csv,https://statistiek.api.dnb.nl/api/dataset/resourcecsv?id=4d353b6d-3725-4934-8c28-04878c1282c1,text/csv
dnb,pensioenfondsen_uitkeringen.json,https://statistiek.api.dnb.nl/api/dataset/resourcefile?id=4d353b6d-3725-4934-8c28-04878c1282c1,application/json
dnb,pensioenfondsen_premies.csv,https://statistiek.api.dnb.nl/api/dataset/resourcecsv?id=396422d1-442c-470d-8608-627fd88699b1,text/csv
simula,depresjon.zip,https://datasets.simula.no/depresjon/data/depresjon-dataset.zip,application/zip
simula,kvasir-seg.zip,https://datasets.simula.no/kvasir-seg/Kvasir-SEG.zip,application/zip